E /V	I /uA	E /V	I /uA
0.279	0.173	0.279	0.170
0.279	0.175	0.279	0.173
0.280	0.172	0.280	0.169
0.280	0.176	0.280	0.173
0.281	0.175	0.281	0.181
0.281	0.176	0.281	0.192
0.281	0.178	0.281	0.187
0.282	0.184	0.282	0.186
0.282	0.184	0.282	0.180
0.283	0.195	0.283	0.190
0.283	0.190	0.283	0.193
0.284	0.186	0.284	0.195
0.284	0.187	0.284	0.193
0.285	0.196	0.285	0.201
0.285	0.201	0.285	0.198
0.286	0.192	0.286	0.207
0.286	0.201	0.286	0.201
0.287	0.204	0.287	0.212
0.287	0.209	0.287	0.206
0.288	0.207	0.288	0.209
0.288	0.204	0.288	0.209
0.289	0.213	0.289	0.218
0.289	0.218	0.289	0.221
0.290	0.222	0.290	0.227
0.290	0.221	0.290	0.224
0.291	0.227	0.291	0.235
0.291	0.224	0.291	0.238
0.292	0.235	0.292	0.239
0.292	0.235	0.292	0.239
0.293	0.236	0.293	0.247
0.293	0.236	0.293	0.247
0.294	0.253	0.294	0.249
0.294	0.249	0.294	0.255
0.295	0.256	0.295	0.275
0.295	0.256	0.295	0.272
0.296	0.262	0.296	0.267
0.296	0.262	0.296	0.268
0.297	0.270	0.297	0.287
0.297	0.268	0.297	0.284
