E /V	I /uA	E /V	I /uA	E /V	I /uA
0.198	1.735	0.198	1.687	0.198	1.649
0.199	1.745	0.199	1.687	0.199	1.656
0.200	1.738	0.200	1.679	0.200	1.633
0.201	1.736	0.201	1.675	0.201	1.637
0.202	1.725	0.202	1.672	0.202	1.620
0.203	1.735	0.203	1.669	0.203	1.623
0.204	1.716	0.204	1.650	0.204	1.609
0.205	1.712	0.205	1.643	0.205	1.604
0.206	1.698	0.206	1.612	0.206	1.587
0.207	1.687	0.207	1.615	0.207	1.575
0.208	1.669	0.208	1.597	0.208	1.561
0.209	1.656	0.209	1.583	0.209	1.554
0.210	1.630	0.210	1.564	0.210	1.529
0.211	1.637	0.211	1.564	0.211	1.528
0.212	1.606	0.212	1.537	0.212	1.503
0.213	1.583	0.213	1.514	0.213	1.485
0.214	1.551	0.214	1.479	0.214	1.451
0.215	1.535	0.215	1.469	0.215	1.443
0.216	1.500	0.216	1.440	0.216	1.413
0.217	1.471	0.217	1.422	0.217	1.394
0.218	1.439	0.218	1.387	0.218	1.364
0.219	1.417	0.219	1.364	0.219	1.341
0.220	1.379	0.220	1.327		
0.221	1.350	0.221	1.298		
0.222	1.308	0.222	1.262		
0.223	1.278	0.223	1.227		
0.224	1.242	0.224	1.196		
0.225	1.215	0.225	1.163		
0.226	1.172	0.226	1.130		
0.227	1.155	0.227	1.106		
0.228	1.101	0.228	1.061		
0.229	1.078	0.229	1.032		
0.230	1.046	0.230	0.992		
0.231	1.018	0.231	0.976		
0.232	0.991	0.232	0.943		
0.233	0.966	0.233	0.920		
0.234	0.939	0.234	0.890		
0.235	0.922	0.235	0.868		
0.236	0.899	0.236	0.844		
0.237	0.887	0.237	0.827		
0.238	0.862	0.238	0.799		
0.239	0.844	0.239	0.795		
0.240	0.831	0.240	0.772		
0.241	0.819	0.241	0.755		
0.242	0.805	0.242	0.744		
0.243	0.795	0.243	0.738		
0.244	0.781	0.244	0.719		
0.245	0.776	0.245	0.712		
0.246	0.765	0.246	0.701		
0.247	0.765	0.247	0.689		
0.248	0.755	0.248	0.686		
0.249	0.753	0.249	0.676		
0.250	0.742	0.250	0.670		
0.251	0.742	0.251	0.675		
0.252	0.735	0.252	0.669		
0.253	0.735	0.253	0.667		
0.254	0.733	0.254	0.655		
0.255	0.733	0.255	0.669		
0.256	0.733	0.256	0.658		
0.257	0.733	0.257	0.661		
0.258	0.739	0.258	0.661		
0.259	0.752	0.259	0.680		
0.260	0.742	0.260	0.667		
0.261	0.735	0.261	0.670		
0.262	0.745	0.262	0.672		
0.263	0.752	0.263	0.676		
0.264	0.750	0.264	0.672		
0.265	0.756	0.265	0.676		
0.266	0.759	0.266	0.689		
0.267	0.775	0.267	0.692		
0.268	0.768	0.268	0.689		
0.269	0.778	0.269	0.695		
0.270	0.778	0.270	0.701		
0.271	0.791	0.271	0.718		
0.272	0.796	0.272	0.716		
0.273	0.801	0.273	0.721		
0.274	0.805	0.274	0.730		
0.275	0.828	0.275	0.749		
0.276	0.831	0.276	0.752		
0.277	0.834	0.277	0.762		
0.278	0.842	0.278	0.764		
0.279	0.856	0.279	0.782		
0.280	0.865	0.280	0.787		
0.281	0.887	0.281	0.790		
0.282	0.894	0.282	0.798		
0.283	0.911	0.283	0.824		
0.284	0.910	0.284	0.831		
0.285	0.931	0.285	0.845		
0.286	0.948	0.286	0.862		
0.287	0.957	0.287	0.876		
0.288	0.979	0.288	0.891		
0.289	0.995	0.289	0.907		
0.290	1.011	0.290	0.926		
0.291	1.043	0.291	0.956		
0.292	1.052	0.292	0.968		
0.293	1.084	0.293	1.000		
0.294	1.098	0.294	1.012		
0.295	1.126	0.295	1.040		
0.296	1.143	0.296	1.066		
0.297	1.181	0.297	1.095		
0.298	1.212	0.298	1.123		
0.299	1.250	0.299	1.163		
0.300	1.281	0.300	1.193		
0.301	1.321	0.301	1.229		
0.302	1.360	0.302	1.259		
0.303	1.414	0.303	1.311		
0.304	1.454	0.304	1.353		
0.305	1.499	0.305	1.403		
0.306	1.555	0.306	1.449		
0.307	1.621	0.307	1.514		
