E /V	I /uA	E /V	I /uA
0.258	-0.290		
0.257	-0.279		
0.256	-0.310		
0.255	-0.317		
0.254	-0.307		
0.253	-0.308		
0.252	-0.327		
0.251	-0.311		
0.250	-0.305		
0.249	-0.307		
0.248	-0.322		
0.247	-0.304		
0.246	-0.337		
0.245	-0.334		
0.244	-0.351		
0.243	-0.345		
0.242	-0.360		
0.241	-0.354		
0.240	-0.317		
0.239	-0.379		
0.238	-0.350		
0.237	-0.389		
0.236	-0.400		
0.235	-0.428		
0.234	-0.397		
0.233	-0.420		
0.232	-0.416		
0.231	-0.422		
0.230	-0.457		
0.229	-0.475		
0.228	-0.477		
0.227	-0.466		
0.226	-0.521		
0.225	-0.531		
0.224	-0.560		
0.223	-0.584		
0.222	-0.584		
0.221	-0.587		
0.220	-0.630		
0.219	-0.658		
0.218	-0.670		
0.217	-0.702		
0.216	-0.754		
0.215	-0.758		
0.214	-0.825		
0.213	-0.883		
0.212	-0.916		
0.211	-0.998		
0.210	-1.037		
0.209	-1.092		
0.208	-1.146		
0.207	-1.224		
0.206	-1.348		
0.205	-1.422		
0.204	-1.590		
0.203	-1.802		
0.202	-2.043		
0.201	-2.428		
0.200	-2.894		
0.199	-3.627		
0.198	-4.645		
0.197	-6.104		
0.196	-8.181		
0.195	-11.049		
0.194	-13.608		
0.193	-14.891		
0.192	-14.220		
0.191	-11.923		
0.190	-9.409		
0.189	-7.332		
0.188	-6.041		
0.187	-4.770		
0.186	-3.984		
0.185	-3.426		
0.184	-2.969		
0.183	-2.593		
0.182	-2.360		
0.181	-2.175		
0.180	-2.034		
0.179	-1.883		
0.178	-1.777		
0.177	-1.675		
0.176	-1.607		
0.175	-1.573		
0.174	-1.503		
0.173	-1.498		
0.172	-1.478		
0.171	-1.402		
0.170	-1.422		
0.169	-1.417		
0.168	-1.363		
0.167	-1.397		
0.166	-1.331		
0.165	-1.369		
0.164	-1.342		
0.163	-1.350		
0.162	-1.342		
0.161	-1.389		
0.160	-1.377		
0.159	-1.402		
0.158	-1.399		
0.157	-1.379		
0.156	-1.363		
0.155	-1.400		
0.154	-1.382		
0.153	-1.397		
0.152	-1.408		
0.151	-1.445		
0.150	-1.396		
0.149	-1.409		
0.148	-1.465		
0.147	-1.478		
0.146	-1.445		
0.145	-1.503		
0.144	-1.506		
0.143	-1.517		
0.142	-1.495		
0.141	-1.523		
0.140	-1.529		
