E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.048	-0.837	0.048	-0.787	0.048	-0.800	0.048	-0.744	0.048	-0.613	0.048	-0.728	0.048	-0.639	0.048	-0.607	0.048	-0.550
0.047	-0.845	0.047	-0.851	0.047	-0.831	0.047	-0.705	0.047	-0.808	0.047	-0.718	0.047	-0.609	0.047	-0.687	0.047	-0.613
0.046	-0.799	0.046	-0.865	0.046	-0.782	0.046	-0.781	0.046	-0.661	0.046	-0.635	0.046	-0.592	0.046	-0.632	0.046	-0.685
0.046	-0.802	0.046	-0.794	0.046	-0.817	0.046	-0.782	0.046	-0.799	0.046	-0.638	0.046	-0.684	0.046	-0.589	0.046	-0.609
0.045	-0.787	0.045	-0.682	0.045	-0.764	0.045	-0.765	0.045	-0.716	0.045	-0.623	0.045	-0.701	0.045	-0.603	0.045	-0.558
0.045	-0.825	0.045	-0.699	0.045	-0.804	0.045	-0.781	0.045	-0.722	0.045	-0.705	0.045	-0.638	0.045	-0.589	0.045	-0.560
0.044	-0.721	0.044	-0.707	0.044	-0.754	0.044	-0.814	0.044	-0.676	0.044	-0.689	0.044	-0.655	0.044	-0.532	0.044	-0.583
0.044	-0.748	0.044	-0.738	0.044	-0.748	0.044	-0.712	0.044	-0.650	0.044	-0.661	0.044	-0.690	0.044	-0.607	0.044	-0.633
0.043	-0.735	0.043	-0.825	0.043	-0.810	0.043	-0.733	0.043	-0.658	0.043	-0.644	0.043	-0.695	0.043	-0.563	0.043	-0.649
0.043	-0.836	0.043	-0.830	0.043	-0.827	0.043	-0.731	0.043	-0.728	0.043	-0.696	0.043	-0.658	0.043	-0.623	0.043	-0.574
0.043	-0.843	0.043	-0.934	0.043	-0.794	0.043	-0.764	0.043	-0.768	0.043	-0.811	0.043	-0.722	0.043	-0.738	0.043	-0.684
0.042	-0.699	0.042	-0.727	0.042	-0.718	0.042	-0.728	0.042	-0.666	0.042	-0.626	0.042	-0.659	0.042	-0.566	0.042	-0.566
0.042	-0.814	0.042	-0.745	0.042	-0.777	0.042	-0.727	0.042	-0.673	0.042	-0.701	0.042	-0.652	0.042	-0.613	0.042	-0.575
0.041	-0.823	0.041	-0.673	0.041	-0.776	0.041	-0.739	0.041	-0.730	0.041	-0.701	0.041	-0.649	0.041	-0.633	0.041	-0.581
