E /V	I /uA	E /V	I /uA	E /V	I /uA
0.048	0.770	0.048	0.776	0.048	0.745
0.048	0.732	0.048	0.813	0.048	0.788
0.049	0.784	0.049	0.765	0.049	0.785
0.049	0.805	0.049	0.767	0.049	0.796
0.050	0.842	0.050	0.813	0.050	0.844
0.050	0.842	0.050	0.824	0.050	0.857
0.051	0.831	0.051	0.819	0.051	0.773
0.051	0.839	0.051	0.788	0.051	0.721
0.051	0.842	0.051	0.813	0.051	0.732
0.052	0.853	0.052	0.811	0.052	0.775
0.052	0.853	0.052	0.822	0.052	0.761
0.053	0.868	0.053	0.844	0.053	0.824
0.053	0.793	0.053	0.827	0.053	0.816
0.054	0.767	0.054	0.764	0.054	0.793
0.054	0.816	0.054	0.818	0.054	0.802
0.055	0.848	0.055	0.764	0.055	0.814
0.056	0.796	0.056	0.762	0.056	0.819
0.056	0.764	0.056	0.753	0.056	0.758
0.057	0.810	0.057	0.768	0.057	0.796
0.057	0.788	0.057	0.750	0.057	0.787
0.058	0.772	0.058	0.830	0.058	0.703
0.058	0.916	0.058	0.818	0.058	0.902
0.059	0.842	0.059	0.787	0.059	0.790
0.059	0.770	0.059	0.860	0.059	0.782
0.059	0.818	0.059	0.822	0.059	0.822
0.060	0.819	0.060	0.821	0.060	0.782
0.060	0.775	0.060	0.767	0.060	0.788
0.061	0.805	0.061	0.768	0.061	0.865
0.061	0.814	0.061	0.784	0.061	0.821
0.062	0.825	0.062	0.799	0.062	0.749
0.063	0.796	0.063	0.753	0.063	0.788
0.063	0.850	0.063	0.765	0.063	0.747
0.064	0.831	0.064	0.787	0.064	0.819
0.064	0.868	0.064	0.787	0.064	0.814
0.065	0.828	0.065	0.739	0.065	0.762
0.065	0.793	0.065	0.865	0.065	0.706
0.066	0.795	0.066	0.873	0.066	0.732
0.066	0.795	0.066	0.833	0.066	0.768
0.067	0.827	0.067	0.821	0.067	0.784
0.067	0.850	0.067	0.864	0.067	0.802
0.068	0.876	0.068	0.831	0.068	0.785
0.068	0.847	0.068	0.848	0.068	0.810
0.069	0.841	0.069	0.848	0.069	0.796
0.069	0.868	0.069	0.839	0.069	0.768
0.070	0.883	0.070	0.799	0.070	0.810
0.070	0.841	0.070	0.799	0.070	0.819
0.070	0.784	0.070	0.796	0.070	0.810
0.071	0.787	0.071	0.730	0.071	0.781
0.071	0.862	0.071	0.825	0.071	0.732
0.072	0.825	0.072	0.699	0.072	0.762
0.072	0.791	0.072	0.801	0.072	0.765
0.073	0.891	0.073	0.842	0.073	0.837
0.073	0.811	0.073	0.837	0.073	0.802
0.074	0.795	0.074	0.865	0.074	0.839
0.074	0.814	0.074	0.785	0.074	0.828
0.075	0.793	0.075	0.804	0.075	0.814
0.075	0.793	0.075	0.825	0.075	0.788
0.076	0.844	0.076	0.824	0.076	0.834
0.076	0.870	0.076	0.782	0.076	0.791
0.077	0.775	0.077	0.784	0.077	0.767
0.077	0.795	0.077	0.692	0.077	0.696
0.078	0.844	0.078	0.864	0.078	0.867
0.079	0.790	0.079	0.793	0.079	0.787
0.079	0.795	0.079	0.798	0.079	0.758
0.080	0.784	0.080	0.779	0.080	0.788
0.080	0.805	0.080	0.773	0.080	0.752
0.081	0.808	0.081	0.781	0.081	0.770
0.081	0.796	0.081	0.788	0.081	0.765
0.082	0.759	0.082	0.716	0.082	0.787
0.082	0.821	0.082	0.759	0.082	0.758
0.083	0.802	0.083	0.747	0.083	0.781
0.083	0.831	0.083	0.765	0.083	0.793
0.084	0.775	0.084	0.715	0.084	0.773
0.084	0.798	0.084	0.776	0.084	0.807
