E /V	I /uA	E /V	I /uA	E /V	I /uA
0.260	1.937	0.260	2.026	0.260	2.063
0.261	1.911	0.261	2.008	0.261	2.009
0.262	1.865	0.262	1.954	0.262	2.002
0.263	1.847	0.263	1.943	0.263	1.933
0.264	1.822	0.264	1.891	0.264	1.894
0.265	1.790	0.265	1.877	0.265	1.879
0.266	1.749	0.266	1.839	0.266	1.854
0.267	1.739	0.267	1.805	0.267	1.818
0.268	1.689	0.268	1.762	0.268	1.801
0.269	1.686	0.269	1.758	0.269	1.773
0.270	1.643	0.270	1.750	0.270	1.733
0.271	1.621	0.271	1.712	0.271	1.730
0.272	1.587	0.272	1.696	0.272	1.692
0.273	1.581	0.273	1.681	0.273	1.663
0.274	1.561	0.274	1.667	0.274	1.635
0.275	1.546	0.275	1.641	0.275	1.609
0.276	1.512	0.276	1.614	0.276	1.614
0.277	1.515	0.277	1.578	0.277	1.598
0.278	1.505	0.278	1.572	0.278	1.581
0.279	1.468	0.279	1.561	0.279	1.564
0.280	1.449	0.280	1.551	0.280	1.522
0.281	1.423	0.281	1.529	0.281	1.528
0.282	1.420	0.282	1.518	0.282	1.508
0.283	1.403	0.283	1.505	0.283	1.499
0.284	1.399	0.284	1.508	0.284	1.480
0.285	1.380	0.285	1.462	0.285	1.460
0.286	1.377	0.286	1.472	0.286	1.448
0.287	1.370	0.287	1.456	0.287	1.436
0.288	1.360	0.288	1.457	0.288	1.408
0.289	1.347	0.289	1.442	0.289	1.414
0.290	1.337	0.290	1.396	0.290	1.417
0.291	1.314	0.291	1.417	0.291	1.380
0.292	1.299	0.292	1.380	0.292	1.402
0.293	1.290	0.293	1.399	0.293	1.391
0.294	1.270	0.294	1.399	0.294	1.387
0.295	1.284	0.295	1.379	0.295	1.376
0.296	1.265	0.296	1.376	0.296	1.348
0.297	1.273	0.297	1.379	0.297	1.356
0.298	1.272	0.298	1.354	0.298	1.339
0.299	1.264	0.299	1.353	0.299	1.345
0.300	1.264	0.300	1.325	0.300	1.333
0.301	1.242	0.301	1.333	0.301	1.319
0.302	1.238	0.302	1.322	0.302	1.313
0.303	1.241	0.303	1.310	0.303	1.301
0.304	1.224	0.304	1.314	0.304	1.311
0.305	1.222	0.305	1.307	0.305	1.308
0.306	1.212	0.306	1.322	0.306	1.295
0.307	1.203	0.307	1.308	0.307	1.302
0.308	1.210	0.308	1.287	0.308	1.291
0.309	1.204	0.309	1.290	0.309	1.287
0.310	1.203	0.310	1.279	0.310	1.278
0.311	1.207	0.311	1.279	0.311	1.255
0.312	1.180	0.312	1.268	0.312	1.282
0.313	1.207	0.313	1.272	0.313	1.278
0.314	1.198	0.314	1.253	0.314	1.264
